["cct.kind = 'complete+verified'", "cn.country_code = '[br]'", "it.info = 'plot'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%H%'", "mi.info LIKE '%e%'", "mi.info LIKE '%o%'", "t.production_year > 1991"],
["cct.kind = 'complete+verified'", "cn.country_code = '[fi]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%l%'", "mi.info LIKE '%t%'", "mi.info LIKE '%N%'", "t.production_year > 1927"],
["cct.kind = 'complete+verified'", "cn.country_code = '[fi]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%d%'", "mi.info LIKE '%e%'", "mi.info LIKE '%F%'", "t.production_year > 1927"],
["cct.kind = 'complete+verified'", "cn.country_code = '[it]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%z%'", "mi.info LIKE '%:%'", "mi.info LIKE '%n%'", "t.production_year > 1927"],
["cct.kind = 'complete'", "cn.country_code = '[au]'", "it.info = 'sound mix'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%3%'", "mi.info LIKE '%n%'", "mi.info LIKE '%o%'", "t.production_year > 1970"],
["cct.kind = 'complete+verified'", "cn.country_code = '[nl]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%e%'", "mi.info LIKE '%9%'", "mi.info LIKE '%9%'", "t.production_year > 1947"],
["cct.kind = 'complete+verified'", "cn.country_code = '[it]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%i%'", "mi.info LIKE '%0%'", "mi.info LIKE '%t%'", "t.production_year > 1927"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'sound mix'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%7%'", "mi.info LIKE '%r%'", "mi.info LIKE '%6%'", "t.production_year > 1990"],
["cct.kind = 'complete+verified'", "cn.country_code = '[fr]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%i%'", "mi.info LIKE '%b%'", "mi.info LIKE '%0%'", "t.production_year > 1927"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%v%'", "mi.info LIKE '%o%'", "mi.info LIKE '%A%'", "t.production_year > 1927"],
["cct.kind = 'complete+verified'", "cn.country_code = '[nl]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%D%'", "mi.info LIKE '%0%'", "mi.info LIKE '%A%'", "t.production_year > 1992"],
["cct.kind = 'complete'", "cn.country_code = '[au]'", "it.info = 'sound mix'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%i%'", "mi.info LIKE '%6%'", "mi.info LIKE '%m%'", "t.production_year > 1970"],
["cct.kind = 'complete'", "cn.country_code = '[us]'", "it.info = 'certificates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%a%'", "mi.info LIKE '%n%'", "mi.info LIKE '%a%'", "t.production_year > 1985"],
["cct.kind = 'complete+verified'", "cn.country_code = '[it]'", "it.info = 'certificates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%0%'", "mi.info LIKE '%:%'", "mi.info LIKE '%+%'", "t.production_year > 1985"],
["cct.kind = 'complete+verified'", "cn.country_code = '[de]'", "it.info = 'certificates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%o%'", "mi.info LIKE '%A%'", "mi.info LIKE '%P%'", "t.production_year > 1985"],
["cct.kind = 'complete+verified'", "cn.country_code = '[jp]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%)%'", "mi.info LIKE '%e%'", "mi.info LIKE '%y%'", "t.production_year > 1992"],
["cct.kind = 'complete'", "cn.country_code = '[nl]'", "it.info = 'plot'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%a%'", "mi.info LIKE '%n%'", "mi.info LIKE '%e%'", "t.production_year > 1947"],
["cct.kind = 'complete'", "cn.country_code = '[gb]'", "it.info = 'runtimes'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%e%'", "mi.info LIKE '%0%'", "mi.info LIKE '%1%'", "t.production_year > 1993"],
["cct.kind = 'complete+verified'", "cn.country_code = '[us]'", "it.info = 'release dates'", "kt.kind IN ('movie', 'movie', 'movie', 'movie', 'movie')", "mi.note LIKE '%e%'", "mi.info LIKE '%y%'", "mi.info LIKE '%S%'", "t.production_year > 1992"]
