["(mc.note LIKE '%e%' OR mc.note LIKE '%r%')", "ci.note IN ('(as Preston ''Bo-P'' Barnes)', '(as Kwok-Hing Lee)', '(as Iro Gerda)', '(as Jamie Burton)', '(as Lam Chi Bok)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%,%'", "rt.role = 'actor'", "t.production_year >= 1975 AND t.production_year <= 2012"],
["(mc.note LIKE '%r%' OR mc.note LIKE '%r%')", "ci.note IN ('(as Dan Clark)', '(as Steve Hall)', '(as Ulla Taguchi)', '(French play)', '(as Jennifer An)')", "cn.country_code = '[ar]'", "n.gender = 'm' AND n.name LIKE '%,%'", "rt.role = 'actor'", "t.production_year >= 1984 AND t.production_year <= 2015"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%U%')", "ci.note IN ('(uncredited)', '(as C.M. Gampel)', '(drunk girl)', '(as Natascha Bintz)', '(as Matt Aubrey)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%h%'", "rt.role = 'actor'", "t.production_year >= 1893 AND t.production_year <= 1957"],
["(mc.note LIKE '%a%' OR mc.note LIKE '%(%')", "ci.note IN ('(as Antoine De Caunes)', '(Natwarlal''s Son)', '(as Jalle Lindblad)', '(as Scott Olson)', '(as Olga Krsljanin)')", "cn.country_code = '[es]'", "n.gender = 'm' AND n.name LIKE '%u%'", "rt.role = 'actor'", "t.production_year >= 1962 AND t.production_year <= 2007"],
["(mc.note LIKE '%j%' OR mc.note LIKE '%s%')", "ci.note IN ('(uncredited)', '(as Rori)', '(as Chas. Newton)', '(club dj)', '(as E. Betrone)')", "cn.country_code = '[gb]'", "n.gender = 'm' AND n.name LIKE '%r%'", "rt.role = 'actor'", "t.production_year >= 1949 AND t.production_year <= 2008"],
["(mc.note LIKE '%A%' OR mc.note LIKE '%2%')", "ci.note IN ('(uncredited)', '(as Siv Ngesi)', '(as Bapuji)', '(as Erik Laurent)', '(as Turk Thrust II)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%t%'", "rt.role = 'actor'", "t.production_year >= 1912 AND t.production_year <= 1989"],
["(mc.note LIKE '%e%' OR mc.note LIKE '%a%')", "ci.note IN ('(uncredited)', '(as Elaine Lo)', '(as Setiarno)', '(Tenida)', '(science writer)')", "cn.country_code = '[de]'", "n.gender = 'm' AND n.name LIKE '%a%'", "rt.role = 'actor'", "t.production_year >= 1976 AND t.production_year <= 2020"],
["(mc.note LIKE '%8%' OR mc.note LIKE '%a%')", "ci.note IN ('(uncredited)', '(as Maira Mango)', '(hat designer)', '(Videogamer Hottie)', '(novel "Strici")')", "cn.country_code = '[fi]'", "n.gender = 'm' AND n.name LIKE '%i%'", "rt.role = 'actor'", "t.production_year >= 1965 AND t.production_year <= 2014"],
["(mc.note LIKE '%m%' OR mc.note LIKE '%a%')", "ci.note IN ('(as Michael G. Hagerty)', '(as Azaan R. Shah)', '(as Valerie)', '(pedopsychiatrist)', '(as Robert-Arnoux)')", "cn.country_code = '[de]'", "n.gender = 'm' AND n.name LIKE '%k%'", "rt.role = 'actor'", "t.production_year >= 1963 AND t.production_year <= 2005"],
["(mc.note LIKE '%S%' OR mc.note LIKE '%3%')", "ci.note IN ('(as John Fertitta)', '(as Eric Swartz)', '(as Julia Perrier)', '(as Jim Drake)', '(as S. Lukyanov)')", "cn.country_code = '[kr]'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year >= 1981 AND t.production_year <= 2014"],
["(mc.note LIKE '%-%' OR mc.note LIKE '%i%')", "ci.note IN ('(uncredited)', '(set medic) (2006)', '(as Kelly Cook)', '(as Jerome Dempsy)', '(as Stan Sembrano)')", "cn.country_code = '[fr]'", "n.gender = 'm' AND n.name LIKE '%a%'", "rt.role = 'actor'", "t.production_year >= 1925 AND t.production_year <= 2014"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%)%')", "ci.note IN ('(uncredited)', '(as Ana Singh)', '(as Lukas Perman)', '(as Kathy Richards)', '(as Manolo Morales)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%l%'", "rt.role = 'actor'", "t.production_year >= 1990 AND t.production_year <= 2016"],
["(mc.note LIKE '%2%' OR mc.note LIKE '%D%')", "ci.note IN ('(uncredited)', '(as Revathy Menon)', '(as Dan von Bargen)', '(as Rozina Cambos)', '(as Chris Ruddick)')", "cn.country_code = '[at]'", "n.gender = 'm' AND n.name LIKE '%r%'", "rt.role = 'actor'", "t.production_year >= 1921 AND t.production_year <= 2001"],
["(mc.note LIKE '%e%' OR mc.note LIKE '%)%')", "ci.note IN ('(uncredited)', '(as Matt Levin)', '(Anuradha''s dad)', '(as Alison Learned)', '(dollar producer)')", "cn.country_code = '[gr]'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year >= 1900 AND t.production_year <= 1986"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%(%')", "ci.note IN ('(uncredited)', '(butler)', '(as S. Fesyunov)', '(as Shone Tee)', '(as Wally Wales)')", "cn.country_code = '[at]'", "n.gender = 'm' AND n.name LIKE '%a%'", "rt.role = 'actor'", "t.production_year >= 1902 AND t.production_year <= 2006"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%4%')", "ci.note IN ('(uncredited)', '(as Luis Esturia)', '(as Feng Li)', '(as Xinyun Li)', '(as Sam Fiedel)')", "cn.country_code = '[de]'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year >= 1891 AND t.production_year <= 1961"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%)%')", "ci.note IN ('(uncredited)', '(as Tad Dorgan)', '(episodes 5-15)', '(as Lori Evans)', '(as Kathryn Garven)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%a%'", "rt.role = 'actor'", "t.production_year >= 1908 AND t.production_year <= 2009"],
["(mc.note LIKE '%V%' OR mc.note LIKE '%n%')", "ci.note IN ('(uncredited)', '(Lady in White)', '(Gladkia)', '(novel "Dubrovsky")', '(cutting)')", "cn.country_code = '[se]'", "n.gender = 'm' AND n.name LIKE '%r%'", "rt.role = 'actor'", "t.production_year >= 1990 AND t.production_year <= 2007"],
["(mc.note LIKE '%i%' OR mc.note LIKE '%o%')", "ci.note IN ('(Railroad Agent)', '(as Jackie Colton)', '(as Edy Faietta)', '(as Tara Perry)', '(Bonus Footage)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%H%'", "rt.role = 'actor'", "t.production_year >= 1895 AND t.production_year <= 2016"],
["(mc.note LIKE '%e%' OR mc.note LIKE '%t%')", "ci.note IN ('(as Joseph Frago)', '(as Jack Kitchen)', '(as Bob Young)', '(as Phillip Ober)', '(as Rajnibala)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%r%'", "rt.role = 'actor'", "t.production_year >= 1941 AND t.production_year <= 2013"],
["(mc.note LIKE '%s%' OR mc.note LIKE '%s%')", "ci.note IN ('(as Jack Gallagher)', '(as Groovy)', '(segment "Ikiru")', '(co-presenter)', '(clearance advisor)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%h%'", "rt.role = 'actor'", "t.production_year >= 1956 AND t.production_year <= 1997"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%)%')", "ci.note IN ('(voice)', '(as Pahlwan)', '(as Joe Bocaro)', '(as Lord Rosebery)', '(as Rasmus)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%V%'", "rt.role = 'actor'", "t.production_year >= 1967 AND t.production_year <= 2020"],
["(mc.note LIKE '%1%' OR mc.note LIKE '%1%')", "ci.note IN ('(uncredited)', '(as Ya. Volchek)', '(as Adam Le''Andre)', '(as Edward Dowling)', '(as P. Kratochvil)')", "cn.country_code = '[de]'", "n.gender = 'm' AND n.name LIKE '%K%'", "rt.role = 'actor'", "t.production_year >= 1903 AND t.production_year <= 2007"],
["(mc.note LIKE '%9%' OR mc.note LIKE '%(%')", "ci.note IN ('(as Halliwell Hobbs)', '(footage)', '(as Alicia Ramsey)', '(as Angelique)', '(as Baljodh Nagra)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year >= 1905 AND t.production_year <= 1964"],
["(mc.note LIKE '%t%' OR mc.note LIKE '%S%')", "ci.note IN ('(uncredited)', '(as Al Eggen)', '(as Iliana Lalic)', '(as J.J. Miller)', '(as Mr. Osborn)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%i%'", "rt.role = 'actor'", "t.production_year >= 1929 AND t.production_year <= 1953"],
["(mc.note LIKE '%1%' OR mc.note LIKE '%e%')", "ci.note IN ('(voice)', '(as Dylan Baker)', '(as Jing Din Zhou)', '(segment "Doroga")', '(as Johnny Cardos)')", "cn.country_code = '[ar]'", "n.gender = 'm' AND n.name LIKE '%d%'", "rt.role = 'actor'", "t.production_year >= 1948 AND t.production_year <= 2001"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%u%')", "ci.note IN ('(uncredited)', '(as Lee Se-yeong)', '(1815)', '(as D. Madzhidov)', '(as MJ McGrath)')", "cn.country_code = '[ar]'", "n.gender = 'm' AND n.name LIKE '%a%'", "rt.role = 'actor'", "t.production_year >= 1900 AND t.production_year <= 1989"],
["(mc.note LIKE '%d%' OR mc.note LIKE '%M%')", "ci.note IN ('(uncredited)', '(as Jaffer)', '(Rajiv''s mom)', '(cooking advisor)', '(as Pepe Martin)')", "cn.country_code = '[lb]'", "n.gender = 'm' AND n.name LIKE '%b%'", "rt.role = 'actor'", "t.production_year >= 1977 AND t.production_year <= 2010"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%(%')", "ci.note IN ('(as Chick Bernhard)', '(as Dr. Cecil Fox)', '(as Ross Goza)', '(as Monte Simons)', '(as Tola)')", "cn.country_code = '[gb]'", "n.gender = 'm' AND n.name LIKE '%h%'", "rt.role = 'actor'", "t.production_year >= 1909 AND t.production_year <= 2020"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%(%')", "ci.note IN ('(uncredited)', '(as Roy Coleson)', '(as Andree Bernard)', '(material supplier)', '(as Kim Fook Teoh)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%d%'", "rt.role = 'actor'", "t.production_year >= 1931 AND t.production_year <= 1954"],
["(mc.note LIKE '%A%' OR mc.note LIKE '%S%')", "ci.note IN ('(uncredited)', '(as Mrs. Muni)', '(as Indira Valdez)', '(as Alex Perry)', '(as Tony Gozalves)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%l%'", "rt.role = 'actor'", "t.production_year >= 1927 AND t.production_year <= 2005"],
["(mc.note LIKE '%i%' OR mc.note LIKE '%(%')", "ci.note IN ('(uncredited)', '(as Mark Noda)', '(as Lee Anna Levin)', '(as Ratih Moortri)', '(custodian)')", "cn.country_code = '[hk]'", "n.gender = 'm' AND n.name LIKE '%i%'", "rt.role = 'actor'", "t.production_year >= 1956 AND t.production_year <= 2012"],
["(mc.note LIKE '%n%' OR mc.note LIKE '%a%')", "ci.note IN ('(uncredited)', '(as Henri Gogan)', '(as Nelson Modlin)', '(as Pat Kirkwood)', '(as Russell Torres)')", "cn.country_code = '[fi]'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year >= 1964 AND t.production_year <= 2014"],
["(mc.note LIKE '%h%' OR mc.note LIKE '%m%')", "ci.note IN ('(as Jerry ''Wonda'' Duplessis)', '(Luisa)', '(as James Hilbun)', '(as Iorio Carmine)', '(as Catherine Kath)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year >= 1895 AND t.production_year <= 2006"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%(%')", "ci.note IN ('(as Gurpreet Ghuggi)', '(Delivery boy)', '(as Christin Ford)', '(as Yu. Lavrov)', '(as Mike Flippo)')", "cn.country_code = '[in]'", "n.gender = 'm' AND n.name LIKE '%r%'", "rt.role = 'actor'", "t.production_year >= 1879 AND t.production_year <= 2012"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%S%')", "ci.note IN ('(uncredited)', '(as Matthew Gerbig)', '(as Jorge Fegan)', '(as H. Asmus)', '(Agathon)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%a%'", "rt.role = 'actor'", "t.production_year >= 1898 AND t.production_year <= 1943"],
["(mc.note LIKE '%t%' OR mc.note LIKE '%e%')", "ci.note IN ('(uncredited)', '(as Mr A Phillips)', '(pilot: B-17)', '(as Lenny Bremen)', '(modeling producer)')", "cn.country_code = '[at]'", "n.gender = 'm' AND n.name LIKE '%c%'", "rt.role = 'actor'", "t.production_year >= 1898 AND t.production_year <= 1977"],
["(mc.note LIKE '%V%' OR mc.note LIKE '%e%')", "ci.note IN ('(uncredited)', '(as Lisa George)', '(bearer organizer)', '(as Joseph Nassi)', '(as Snobar Azedien)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year >= 1909 AND t.production_year <= 1944"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%)%')", "ci.note IN ('(uncredited)', '(as Kamal Irani)', '(as Jorn Faurschov)', '(as Balaram)', '(as Richard Alpert)')", "cn.country_code = '[gb]'", "n.gender = 'm' AND n.name LIKE '%''%'", "rt.role = 'actor'", "t.production_year >= 1918 AND t.production_year <= 2014"]
