["cn.country_code != '[fr]'", "cn.name LIKE '%British%'", "cn.name LIKE '%Program%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "lt.link LIKE '%r%'", "t.production_year > 1919", "t.production_year < 2002"],
["cn.country_code != '[fr]'", "cn.name LIKE '%i%'", "cn.name LIKE '%Home%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%e%'", "t.production_year > 1985", "t.production_year < 2010"],
["cn.country_code != '[lk]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-novel'", "lt.link LIKE '%s%'", "t.production_year > 1938", "t.production_year < 2004"],
["cn.country_code != '[de]'", "cn.name LIKE '%Universal%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'distributors'", "k.keyword = 'friendship'", "lt.link LIKE '%of%'", "t.production_year > 1981", "t.production_year < 1997"],
["cn.country_code != '[gg]'", "cn.name LIKE '%General%'", "cn.name LIKE '%w%'", "ct.kind = 'production companies'", "k.keyword = 'number-in-title'", "lt.link LIKE '%e%'", "t.production_year > 2006", "t.production_year < 2010"],
["cn.country_code != '[gi]'", "cn.name LIKE '%Corporation%'", "cn.name LIKE '%Television%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-novel'", "lt.link LIKE '%of%'", "t.production_year > 1891", "t.production_year < 1999"],
["cn.country_code != '[tl]'", "cn.name LIKE '%Film%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%from%'", "t.production_year > 1988", "t.production_year < 2007"],
["cn.country_code != '[us]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Pictures%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%r%'", "t.production_year > 2004", "t.production_year < 2010"],
["cn.country_code != '[fr]'", "cn.name LIKE '%Mayer%'", "cn.name LIKE '%Video%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%o%'", "t.production_year > 2003", "t.production_year < 2011"],
["cn.country_code != '[yucs]'", "cn.name LIKE '%Bull%'", "cn.name LIKE '%Television%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "lt.link LIKE '%f%'", "t.production_year > 1968", "t.production_year < 1976"],
["cn.country_code != '[fr]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%CBS%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "lt.link LIKE '%referenced%'", "t.production_year > 1961", "t.production_year < 2004"],
["cn.country_code != '[fr]'", "cn.name LIKE '%NBC%'", "cn.name LIKE '%Entertainment%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "lt.link LIKE '%f%'", "t.production_year > 2002", "t.production_year < 2011"],
["cn.country_code != '[ht]'", "cn.name LIKE '%General%'", "cn.name LIKE '%o%'", "ct.kind = 'production companies'", "k.keyword = 'family-relationships'", "lt.link LIKE '%in%'", "t.production_year > 1965", "t.production_year < 2010"],
["cn.country_code != '[mg]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Columbia%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%featured%'", "t.production_year > 1975", "t.production_year < 1987"],
["cn.country_code != '[fr]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "lt.link LIKE '%o%'", "t.production_year > 1956", "t.production_year < 2008"],
["cn.country_code != '[lb]'", "cn.name LIKE '%Pictures%'", "cn.name LIKE '%Corporation%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%featured%'", "t.production_year > 1962", "t.production_year < 2007"],
["cn.country_code != '[de]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Company%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%version%'", "t.production_year > 1962", "t.production_year < 1985"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%General%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-play'", "lt.link LIKE '%in%'", "t.production_year > 1980", "t.production_year < 2003"],
["cn.country_code != '[gn]'", "cn.name LIKE '%Film%'", "cn.name LIKE '%CBS%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%e%'", "t.production_year > 1925", "t.production_year < 2007"],
["cn.country_code != '[ma]'", "cn.name LIKE '%ABC%'", "cn.name LIKE '%British%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "lt.link LIKE '%r%'", "t.production_year > 1969", "t.production_year < 1999"],
["cn.country_code != '[al]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%in%'", "t.production_year > 1984", "t.production_year < 2016"],
["cn.country_code != '[rw]'", "cn.name LIKE '%Pictures%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%referenced%'", "t.production_year > 2010", "t.production_year < 2011"],
["cn.country_code != '[la]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "lt.link LIKE '%in%'", "t.production_year > 1950", "t.production_year < 1997"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Television%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "lt.link LIKE '%o%'", "t.production_year > 1982", "t.production_year < 2007"],
["cn.country_code != '[ad]'", "cn.name LIKE '%American%'", "cn.name LIKE '%o%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "lt.link LIKE '%a%'", "t.production_year > 1998", "t.production_year < 2006"],
["cn.country_code != '[fr]'", "cn.name LIKE '%Film%'", "cn.name LIKE '%Columbia%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "lt.link LIKE '%e%'", "t.production_year > 1890", "t.production_year < 2006"],
["cn.country_code != '[de]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Video%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "lt.link LIKE '%s%'", "t.production_year > 1926", "t.production_year < 1994"],
["cn.country_code != '[mn]'", "cn.name LIKE '%r%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%e%'", "t.production_year > 2002", "t.production_year < 2007"],
["cn.country_code != '[de]'", "cn.name LIKE '%CBS%'", "cn.name LIKE '%Company%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "lt.link LIKE '%e%'", "t.production_year > 1997", "t.production_year < 2010"]
