["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%with%'", "mc.note LIKE '%for%'", "mi.note LIKE '%i%'", "mi.info LIKE '%U%'", "t.production_year > 1980"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%co%'", "mc.note LIKE '%DVD%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%U%'", "t.production_year > 1989"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%of%'", "mi.info LIKE '%A%'", "t.production_year > 2004"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%s%'", "mi.info LIKE '%l%'", "t.production_year > 2008"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%in%'", "mc.note LIKE '%DVD%'", "mi.note LIKE '%s%'", "mi.info LIKE '%o%'", "t.production_year > 1991"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%2006%'", "mi.note LIKE '%y%'", "mi.info LIKE '%o%'", "t.production_year > 2005"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%co%'", "mc.note LIKE '%theatrical%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%o%'", "t.production_year > 2000"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%theatrical%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%U%'", "t.production_year > 2006"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2009%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%Festival%'", "mi.info LIKE '%r%'", "t.production_year > 1925"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%e%'", "mc.note LIKE '%media%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%C%'", "t.production_year > 2000"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%1960%'", "mi.note LIKE '%o%'", "mi.info LIKE '%2%'", "t.production_year > 1925"],
["cn.country_code = '[de]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%theatrical%'", "mi.note LIKE '%re%'", "mi.info LIKE '%h%'", "t.production_year > 1995"],
["cn.country_code = '[es]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%DVD%'", "mi.note LIKE '%m%'", "mi.info LIKE '%and%'", "t.production_year > 1941"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%worldwide%'", "mc.note LIKE '%a%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%A%'", "t.production_year > 2005"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2010%'", "mc.note LIKE '%in%'", "mi.note LIKE '%s%'", "mi.info LIKE '%l%'", "t.production_year > 1958"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2002%'", "mc.note LIKE '%TV%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%n%'", "t.production_year > 1942"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%worldwide%'", "mi.note LIKE '%r%'", "mi.info LIKE '%C%'", "t.production_year > 2008"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%co%'", "mc.note LIKE '%c%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%l%'", "t.production_year > 1986"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%by%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%n%'", "t.production_year > 1990"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%with%'", "mi.note LIKE '%s%'", "mi.info LIKE '%o%'", "t.production_year > 1975"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%in%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%n%'", "t.production_year > 1895"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%in%'", "mc.note LIKE '%S%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%h%'", "t.production_year > 2007"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%t%'", "mi.info LIKE '%g%'", "t.production_year > 2000"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%i%'", "mc.note LIKE '%TV%'", "mi.note LIKE '%H%'", "mi.info LIKE '%o%'", "t.production_year > 1983"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%2004%'", "mi.note LIKE '%t%'", "mi.info LIKE '%C%'", "t.production_year > 1962"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%media%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%M%'", "t.production_year > 2007"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%TV%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%g%'", "t.production_year > 1959"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%association%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%l%'", "t.production_year > 1891"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%in%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%U%'", "t.production_year > 2007"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%DVD%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%U%'", "t.production_year > 2007"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2009%'", "mc.note LIKE '%as%'", "mi.note LIKE '%a%'", "mi.info LIKE '%l%'", "t.production_year > 1994"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2006%'", "mc.note LIKE '%d%'", "mi.note LIKE '%re%'", "mi.info LIKE '%K%'", "t.production_year > 1974"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%association%'", "mc.note LIKE '%i%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%2%'", "t.production_year > 1904"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2005%'", "mc.note LIKE '%TV%'", "mi.note LIKE '%German%'", "mi.info LIKE '%e%'", "t.production_year > 1995"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%with%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%U%'", "t.production_year > 1983"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%co%'", "mc.note LIKE '%s%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%n%'", "t.production_year > 2008"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%media%'", "mi.note LIKE '%m%'", "mi.info LIKE '%U%'", "t.production_year > 2001"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%theatrical%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%C%'", "t.production_year > 1947"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%e%'", "mc.note LIKE '%2005%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%U%'", "t.production_year > 2003"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%n%'", "t.production_year > 1989"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%DVD%'", "mi.note LIKE '%r%'", "mi.info LIKE '%l%'", "t.production_year > 2002"]
