["cn.country_code != '[id]'", "cn.name LIKE '%NFB%'", "cn.name LIKE '%Filmes%'", "ct.kind = 'production companies'", "k.keyword = 'nudity'", "t.production_year > 1967", "t.production_year < 1978"],
["cn.country_code != '[yucs]'", "cn.name LIKE '%CBS%'", "cn.name LIKE '%Columbia%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1978", "t.production_year < 1982"],
["cn.country_code != '[bw]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%British%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "t.production_year > 1979", "t.production_year < 1993"],
["cn.country_code != '[in]'", "cn.name LIKE '%K%'", "cn.name LIKE '%National%'", "ct.kind = 'production companies'", "k.keyword = 'dog'", "t.production_year > 1993", "t.production_year < 1993"],
["cn.country_code != '[hn]'", "cn.name LIKE '%Warner%'", "cn.name LIKE '%American%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-play'", "t.production_year > 1967", "t.production_year < 1989"],
["cn.country_code != '[us]'", "cn.name LIKE '%e%'", "cn.name LIKE '%Marta%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "t.production_year > 1969", "t.production_year < 1986"],
["cn.country_code != '[rs]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Video%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "t.production_year > 1982", "t.production_year < 1993"],
["cn.country_code != '[us]'", "cn.name LIKE '%Corporation%'", "cn.name LIKE '%British%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1965", "t.production_year < 1985"],
["cn.country_code != '[de]'", "cn.name LIKE '%ATG%'", "cn.name LIKE '%20th%'", "ct.kind = 'production companies'", "k.keyword = 'family-relationships'", "t.production_year > 1974", "t.production_year < 1977"],
["cn.country_code != '[gb]'", "cn.name LIKE '%National%'", "cn.name LIKE '%Video%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "t.production_year > 1965", "t.production_year < 1986"],
["cn.country_code != '[us]'", "cn.name LIKE '%Manuel%'", "cn.name LIKE '%i%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "t.production_year > 1967", "t.production_year < 1979"],
["cn.country_code != '[mm]'", "cn.name LIKE '%m%'", "cn.name LIKE '%Corporation%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "t.production_year > 1992", "t.production_year < 1993"],
["cn.country_code != '[de]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "t.production_year > 1966", "t.production_year < 1972"],
["cn.country_code != '[sa]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Company%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1966", "t.production_year < 1981"],
["cn.country_code != '[de]'", "cn.name LIKE '%BRI%'", "cn.name LIKE '%Home%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "t.production_year > 1964", "t.production_year < 1987"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Software%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'distributors'", "k.keyword = 'nudity'", "t.production_year > 1974", "t.production_year < 1986"],
["cn.country_code != '[de]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-novel'", "t.production_year > 1986", "t.production_year < 1990"],
["cn.country_code != '[us]'", "cn.name LIKE '%System%'", "cn.name LIKE '%Columbia%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-play'", "t.production_year > 1968", "t.production_year < 1993"],
["cn.country_code != '[tg]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%National%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1972", "t.production_year < 1988"],
["cn.country_code != '[de]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%20th%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1972", "t.production_year < 1983"],
["cn.country_code != '[cn]'", "cn.name LIKE '%Warner%'", "cn.name LIKE '%BBC%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-play'", "t.production_year > 1970", "t.production_year < 1976"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Century%'", "cn.name LIKE '%Deutsches%'", "ct.kind = 'distributors'", "k.keyword = 'non-fiction'", "t.production_year > 1969", "t.production_year < 1991"],
["cn.country_code != '[pg]'", "cn.name LIKE '%Nederlands%'", "cn.name LIKE '%TV%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "t.production_year > 1973", "t.production_year < 1987"],
["cn.country_code != '[de]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "t.production_year > 1981", "t.production_year < 1986"],
["cn.country_code != '[pa]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%American%'", "ct.kind = 'production companies'", "k.keyword = 'one-word-title'", "t.production_year > 1979", "t.production_year < 1993"],
["cn.country_code != '[tr]'", "cn.name LIKE '%CBS%'", "cn.name LIKE '%Films%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "t.production_year > 1963", "t.production_year < 1975"],
["cn.country_code != '[de]'", "cn.name LIKE '%Columbia%'", "cn.name LIKE '%Home%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "t.production_year > 1974", "t.production_year < 1981"],
["cn.country_code != '[us]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%BBC%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "t.production_year > 1977", "t.production_year < 1990"],
["cn.country_code != '[us]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%ABC%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1970", "t.production_year < 1980"],
["cn.country_code != '[tj]'", "cn.name LIKE '%Corporation%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "t.production_year > 1989", "t.production_year < 1991"],
["cn.country_code != '[tg]'", "cn.name LIKE '%CBS%'", "cn.name LIKE '%ABC%'", "ct.kind = 'production companies'", "k.keyword = 'number-in-title'", "t.production_year > 1972", "t.production_year < 1975"],
["cn.country_code != '[mr]'", "cn.name LIKE '%Group%'", "cn.name LIKE '%d%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "t.production_year > 1972", "t.production_year < 1992"],
["cn.country_code != '[bw]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%British%'", "ct.kind = 'production companies'", "k.keyword = 'independent-film'", "t.production_year > 1971", "t.production_year < 1981"],
["cn.country_code != '[us]'", "cn.name LIKE '%National%'", "cn.name LIKE '%Columbia%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "t.production_year > 1979", "t.production_year < 1983"],
["cn.country_code != '[us]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%British%'", "ct.kind = 'production companies'", "k.keyword = 'number-in-title'", "t.production_year > 1984", "t.production_year < 1992"],
["cn.country_code != '[us]'", "cn.name LIKE '%YLE%'", "cn.name LIKE '%Home%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1971", "t.production_year < 1979"],
["cn.country_code != '[bg]'", "cn.name LIKE '%CBS%'", "cn.name LIKE '%Fernsehen%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "t.production_year > 1979", "t.production_year < 1991"],
["cn.country_code != '[ht]'", "cn.name LIKE '%E%'", "cn.name LIKE '%Video%'", "ct.kind = 'distributors'", "k.keyword = 'father-son-relationship'", "t.production_year > 1969", "t.production_year < 1984"],
["cn.country_code != '[us]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%Granada%'", "ct.kind = 'distributors'", "k.keyword = 'one-word-title'", "t.production_year > 1967", "t.production_year < 1988"],
["cn.country_code != '[us]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "t.production_year > 1967", "t.production_year < 1981"],
["cn.country_code != '[gb]'", "cn.name LIKE '%BBC%'", "cn.name LIKE '%ABC%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "t.production_year > 1965", "t.production_year < 1992"],
["cn.country_code != '[us]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Picture%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "t.production_year > 1979", "t.production_year < 1988"],
["cn.country_code != '[xyu]'", "cn.name LIKE '%National%'", "cn.name LIKE '%Films%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "t.production_year > 1985", "t.production_year < 1992"],
["cn.country_code != '[is]'", "cn.name LIKE '%Corporation%'", "cn.name LIKE '%ABC%'", "ct.kind = 'production companies'", "k.keyword = 'sequel'", "t.production_year > 1963", "t.production_year < 1983"],
["cn.country_code != '[lu]'", "cn.name LIKE '%Distribution%'", "cn.name LIKE '%ABC%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "t.production_year > 1972", "t.production_year < 1976"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Television%'", "cn.name LIKE '%BBC%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-play'", "t.production_year > 1976", "t.production_year < 1990"],
["cn.country_code != '[tz]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%CBS%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "t.production_year > 1983", "t.production_year < 1989"],
["cn.country_code != '[us]'", "cn.name LIKE '%NBC%'", "cn.name LIKE '%Video%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "t.production_year > 1981", "t.production_year < 1985"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Spectator%'", "cn.name LIKE '%American%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "t.production_year > 1979", "t.production_year < 1981"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%National%'", "ct.kind = 'production companies'", "k.keyword = 'tv-mini-series'", "t.production_year > 1982", "t.production_year < 1982"],
["cn.country_code != '[de]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-play'", "t.production_year > 1976", "t.production_year < 1981"],
["cn.country_code != '[us]'", "cn.name LIKE '%e%'", "cn.name LIKE '%Home%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-novel'", "t.production_year > 1966", "t.production_year < 1983"],
["cn.country_code != '[de]'", "cn.name LIKE '%American%'", "cn.name LIKE '%Company%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1980", "t.production_year < 1984"],
["cn.country_code != '[bd]'", "cn.name LIKE '%British%'", "cn.name LIKE '%Columbia%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1984", "t.production_year < 1985"],
["cn.country_code != '[us]'", "cn.name LIKE '%CBS%'", "cn.name LIKE '%Schorr%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "t.production_year > 1975", "t.production_year < 1982"],
["cn.country_code != '[de]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Pvt%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "t.production_year > 1981", "t.production_year < 1986"],
["cn.country_code != '[sa]'", "cn.name LIKE '%Fox%'", "cn.name LIKE '%NBC%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "t.production_year > 1978", "t.production_year < 1985"],
["cn.country_code != '[us]'", "cn.name LIKE '%National%'", "cn.name LIKE '%Video%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "t.production_year > 1977", "t.production_year < 1993"],
["cn.country_code != '[us]'", "cn.name LIKE '%Fox%'", "cn.name LIKE '%ZDF%'", "ct.kind = 'production companies'", "k.keyword = 'independent-film'", "t.production_year > 1978", "t.production_year < 1988"],
["cn.country_code != '[us]'", "cn.name LIKE '%Warner%'", "cn.name LIKE '%Board%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "t.production_year > 1973", "t.production_year < 1990"],
["cn.country_code != '[de]'", "cn.name LIKE '%Canada%'", "cn.name LIKE '%20th%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "t.production_year > 1974", "t.production_year < 1989"],
["cn.country_code != '[bb]'", "cn.name LIKE '%Yleisradio%'", "cn.name LIKE '%American%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-play'", "t.production_year > 1979", "t.production_year < 1988"],
["cn.country_code != '[xyu]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%Columbia%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-novel'", "t.production_year > 1984", "t.production_year < 1991"],
["cn.country_code != '[de]'", "cn.name LIKE '%Columbia%'", "cn.name LIKE '%Corporation%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "t.production_year > 1962", "t.production_year < 1969"],
["cn.country_code != '[us]'", "cn.name LIKE '%ABC%'", "cn.name LIKE '%Video%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "t.production_year > 1964", "t.production_year < 1981"],
["cn.country_code != '[li]'", "cn.name LIKE '%BBC%'", "cn.name LIKE '%Video%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "t.production_year > 1979", "t.production_year < 1989"],
["cn.country_code != '[us]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%British%'", "ct.kind = 'production companies'", "k.keyword = 'independent-film'", "t.production_year > 1978", "t.production_year < 1992"],
["cn.country_code != '[us]'", "cn.name LIKE '%BBC%'", "cn.name LIKE '%Factory%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "t.production_year > 1974", "t.production_year < 1990"],
["cn.country_code != '[bd]'", "cn.name LIKE '%Film%'", "cn.name LIKE '%National%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-novel'", "t.production_year > 1969", "t.production_year < 1992"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Deutsches%'", "cn.name LIKE '%TV%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "t.production_year > 1990", "t.production_year < 1993"],
["cn.country_code != '[bh]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%ABC%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "t.production_year > 1980", "t.production_year < 1984"],
["cn.country_code != '[de]'", "cn.name LIKE '%Entertainment%'", "cn.name LIKE '%p%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "t.production_year > 1967", "t.production_year < 1983"],
["cn.country_code != '[us]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%British%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "t.production_year > 1967", "t.production_year < 1991"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Audiovisuelle%'", "ct.kind = 'production companies'", "k.keyword = 'number-in-title'", "t.production_year > 1976", "t.production_year < 1979"],
["cn.country_code != '[do]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%New%'", "ct.kind = 'production companies'", "k.keyword = 'nudity'", "t.production_year > 1972", "t.production_year < 1973"],
["cn.country_code != '[us]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%YLE%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "t.production_year > 1980", "t.production_year < 1993"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%Company%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "t.production_year > 1984", "t.production_year < 1992"],
["cn.country_code != '[sv]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Video%'", "ct.kind = 'distributors'", "k.keyword = 'hardcore'", "t.production_year > 1985", "t.production_year < 1985"],
["cn.country_code != '[fo]'", "cn.name LIKE '%Schlatter%'", "cn.name LIKE '%Warner%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "t.production_year > 1965", "t.production_year < 1976"],
["cn.country_code != '[sn]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%ABC%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "t.production_year > 1961", "t.production_year < 1988"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "t.production_year > 1965", "t.production_year < 1993"],
["cn.country_code != '[de]'", "cn.name LIKE '%£%'", "cn.name LIKE '%a%'", "ct.kind = 'distributors'", "k.keyword = 'rape'", "t.production_year > 1961", "t.production_year < 1972"],
["cn.country_code != '[us]'", "cn.name LIKE '%System%'", "cn.name LIKE '%Columbia%'", "ct.kind = 'production companies'", "k.keyword = 'female-frontal-nudity'", "t.production_year > 1962", "t.production_year < 1978"],
["cn.country_code != '[us]'", "cn.name LIKE '%System%'", "cn.name LIKE '%CBS%'", "ct.kind = 'production companies'", "k.keyword = 'number-in-title'", "t.production_year > 1973", "t.production_year < 1986"],
["cn.country_code != '[gb]'", "cn.name LIKE '%International%'", "cn.name LIKE '%British%'", "ct.kind = 'production companies'", "k.keyword = 'post-nuclear'", "t.production_year > 1975", "t.production_year < 1985"],
["cn.country_code != '[ir]'", "cn.name LIKE '%BBC%'", "cn.name LIKE '%Home%'", "ct.kind = 'production companies'", "k.keyword = 'divorced-man'", "t.production_year > 1963", "t.production_year < 1989"],
["cn.country_code != '[ve]'", "cn.name LIKE '%British%'", "cn.name LIKE '%Video%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "t.production_year > 1968", "t.production_year < 1983"],
["cn.country_code != '[de]'", "cn.name LIKE '%Mike%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "t.production_year > 1973", "t.production_year < 1987"],
["cn.country_code != '[us]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%National%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "t.production_year > 1977", "t.production_year < 1987"],
["cn.country_code != '[ddde]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Company%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "t.production_year > 1969", "t.production_year < 1980"],
["cn.country_code != '[de]'", "cn.name LIKE '%British%'", "cn.name LIKE '%British%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "t.production_year > 1962", "t.production_year < 1988"],
["cn.country_code != '[do]'", "cn.name LIKE '%Factory%'", "cn.name LIKE '%BBC%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1980", "t.production_year < 1986"],
["cn.country_code != '[gb]'", "cn.name LIKE '%NBC%'", "cn.name LIKE '%System%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "t.production_year > 1983", "t.production_year < 1987"],
["cn.country_code != '[ar]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%BBC%'", "ct.kind = 'distributors'", "k.keyword = 'hardcore'", "t.production_year > 1968", "t.production_year < 1986"],
["cn.country_code != '[gb]'", "cn.name LIKE '%YLE%'", "cn.name LIKE '%Home%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "t.production_year > 1974", "t.production_year < 1982"],
["cn.country_code != '[de]'", "cn.name LIKE '%American%'", "cn.name LIKE '%Home%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "t.production_year > 1961", "t.production_year < 1990"],
["cn.country_code != '[us]'", "cn.name LIKE '%System%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'bare-breasts'", "t.production_year > 1977", "t.production_year < 1993"],
["cn.country_code != '[de]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%British%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "t.production_year > 1977", "t.production_year < 1987"],
["cn.country_code != '[tg]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Video%'", "ct.kind = 'distributors'", "k.keyword = 'hardcore'", "t.production_year > 1973", "t.production_year < 1986"],
["cn.country_code != '[de]'", "cn.name LIKE '%American%'", "cn.name LIKE '%Video%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "t.production_year > 1988", "t.production_year < 1989"],
["cn.country_code != '[yucs]'", "cn.name LIKE '%Corporation%'", "cn.name LIKE '%The%'", "ct.kind = 'distributors'", "k.keyword = 'hardcore'", "t.production_year > 1980", "t.production_year < 1983"],
["cn.country_code != '[de]'", "cn.name LIKE '%Universal%'", "cn.name LIKE '%Factory%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1971", "t.production_year < 1972"],
["cn.country_code != '[us]'", "cn.name LIKE '%British%'", "cn.name LIKE '%Zweites%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1985", "t.production_year < 1987"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%Warner%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "t.production_year > 1980", "t.production_year < 1983"],
["cn.country_code != '[us]'", "cn.name LIKE '%Zweites%'", "cn.name LIKE '%System%'", "ct.kind = 'production companies'", "k.keyword = 'one-word-title'", "t.production_year > 1980", "t.production_year < 1982"],
["cn.country_code != '[kz]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%System%'", "ct.kind = 'production companies'", "k.keyword = 'nudity'", "t.production_year > 1973", "t.production_year < 1988"],
["cn.country_code != '[tz]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Rapid%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "t.production_year > 1972", "t.production_year < 1990"],
["cn.country_code != '[de]'", "cn.name LIKE '%Columbia%'", "cn.name LIKE '%20th%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "t.production_year > 1963", "t.production_year < 1981"],
["cn.country_code != '[us]'", "cn.name LIKE '%New%'", "cn.name LIKE '%American%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-play'", "t.production_year > 1988", "t.production_year < 1992"],
["cn.country_code != '[us]'", "cn.name LIKE '%Films%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'independent-film'", "t.production_year > 1975", "t.production_year < 1993"],
["cn.country_code != '[us]'", "cn.name LIKE '%Corporation%'", "cn.name LIKE '%International%'", "ct.kind = 'distributors'", "k.keyword = 'male-nudity'", "t.production_year > 1984", "t.production_year < 1992"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Canada%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "t.production_year > 1973", "t.production_year < 1987"],
["cn.country_code != '[au]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Columbia%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1990", "t.production_year < 1991"],
["cn.country_code != '[ge]'", "cn.name LIKE '%System%'", "cn.name LIKE '%Warner%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "t.production_year > 1972", "t.production_year < 1986"],
["cn.country_code != '[mr]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Corporation%'", "ct.kind = 'production companies'", "k.keyword = 'number-in-title'", "t.production_year > 1972", "t.production_year < 1992"],
["cn.country_code != '[de]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%British%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "t.production_year > 1970", "t.production_year < 1977"],
["cn.country_code != '[kg]'", "cn.name LIKE '%ABC%'", "cn.name LIKE '%Home%'", "ct.kind = 'production companies'", "k.keyword = 'number-in-title'", "t.production_year > 1971", "t.production_year < 1982"],
["cn.country_code != '[ddde]'", "cn.name LIKE '%Vision%'", "cn.name LIKE '%System%'", "ct.kind = 'production companies'", "k.keyword = 'independent-film'", "t.production_year > 1962", "t.production_year < 1968"],
["cn.country_code != '[us]'", "cn.name LIKE '%Canada%'", "cn.name LIKE '%S%'", "ct.kind = 'production companies'", "k.keyword = 'independent-film'", "t.production_year > 1971", "t.production_year < 1973"],
["cn.country_code != '[gb]'", "cn.name LIKE '%System%'", "cn.name LIKE '%Deutsches%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "t.production_year > 1984", "t.production_year < 1992"],
["cn.country_code != '[de]'", "cn.name LIKE '%System%'", "cn.name LIKE '%Company%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "t.production_year > 1969", "t.production_year < 1974"],
["cn.country_code != '[gb]'", "cn.name LIKE '%i%'", "cn.name LIKE '%Television%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "t.production_year > 1969", "t.production_year < 1983"],
["cn.country_code != '[li]'", "cn.name LIKE '%Film%'", "cn.name LIKE '%Video%'", "ct.kind = 'distributors'", "k.keyword = 'hollywood'", "t.production_year > 1982", "t.production_year < 1983"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Entertainment%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "t.production_year > 1970", "t.production_year < 1991"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Television%'", "cn.name LIKE '%Fox%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "t.production_year > 1963", "t.production_year < 1979"],
["cn.country_code != '[cr]'", "cn.name LIKE '%Warner%'", "cn.name LIKE '%American%'", "ct.kind = 'distributors'", "k.keyword = 'number-in-title'", "t.production_year > 1966", "t.production_year < 1986"],
["cn.country_code != '[rs]'", "cn.name LIKE '%System%'", "cn.name LIKE '%System%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "t.production_year > 1979", "t.production_year < 1986"],
