method,training_size,confidence_threshold,E2E_Training_Time,candidate_plan_generation_time_seconds,plan_cover_execution_time,training_data_collection_time,model_prediction_time,#_of_robust_plans,Avg_Robust_ms,Avg_Postgres_ms,Ratio,Robust_is_faster
kepler,50,0.0,= 140.53 + 5683.88 + 4.95 + 9.86,140.5264608860016,5683.878835678101,4.952155828475952,9.858416318893433,3,558.8340222835541,1273.749588727951,2.279298571556273,151/200
kepler,50,0.2,= 140.53 + 5683.88 + 4.95 + 9.78,140.5264608860016,5683.878835678101,4.952155828475952,9.78084421157837,3,533.6998069286346,1286.0533010959623,2.409694147159268,152/200
kepler,50,0.4,= 140.53 + 5683.88 + 4.95 + 10.13,140.5264608860016,5683.878835678101,4.952155828475952,10.13172197341919,3,1312.738816738129,1279.8736429214478,-1.0256784519303506,84/200
kepler,50,0.6,= 140.53 + 5683.88 + 4.95 + 9.92,140.5264608860016,5683.878835678101,4.952155828475952,9.918472051620483,3,1290.2787923812866,1289.0322148799896,-1.0009670646605315,91/200
kepler,50,0.8,= 140.53 + 5683.88 + 4.95 + 9.82,140.5264608860016,5683.878835678101,4.952155828475952,9.819536209106445,3,1286.0263121128082,1286.840832233429,1.0006333619405365,101/200
kepler,400,0.0,= 265.50 + 42874.66 + 13.50 + 12.01,265.49522256851196,42874.65552544594,13.495439052581787,12.006864786148071,3,545.0705552101135,1283.9812231063845,2.355623892784735,149/200
kepler,400,0.2,= 265.50 + 42874.66 + 13.50 + 12.26,265.49522256851196,42874.65552544594,13.495439052581787,12.256548404693604,3,541.1839914321899,1278.3359146118164,2.362109624175739,149/200
kepler,400,0.4,= 265.50 + 42874.66 + 13.50 + 12.10,265.49522256851196,42874.65552544594,13.495439052581787,12.095788478851318,3,538.993753194809,1294.130940437317,2.401012874020412,150/200
kepler,400,0.6,= 265.50 + 42874.66 + 13.50 + 12.09,265.49522256851196,42874.65552544594,13.495439052581787,12.086653709411621,3,516.0982394218445,1281.400500535965,2.4828616000927366,154/200
kepler,400,0.8,= 265.50 + 42874.66 + 13.50 + 11.93,265.49522256851196,42874.65552544594,13.495439052581787,11.929680109024048,3,1282.5567305088043,1282.1169197559357,-1.000343034824743,92/200
csv,50,0.0,= 82.41 + 998.40 + 2.17 + 10.05,82.40801692008972,998.3988056182861,2.1748158931732178,10.048287868499756,2,132.14337825775146,132.1576988697052,1.000108371771197,116/200
csv,50,0.2,= 82.41 + 998.40 + 2.17 + 9.89,82.40801692008972,998.3988056182861,2.1748158931732178,9.886282682418823,2,132.40758538246155,132.19112277030945,-1.0016374973418467,102/200
csv,50,0.4,= 82.41 + 998.40 + 2.17 + 10.24,82.40801692008972,998.3988056182861,2.1748158931732178,10.24365496635437,2,133.12811970710754,134.22905087471008,1.0082697116884447,126/200
csv,50,0.6,= 82.41 + 998.40 + 2.17 + 9.89,82.40801692008972,998.3988056182861,2.1748158931732178,9.889638900756836,2,131.6546082496643,131.3315987586975,-1.002459495612783,86/200
csv,50,0.8,= 82.41 + 998.40 + 2.17 + 9.96,82.40801692008972,998.3988056182861,2.1748158931732178,9.95960521697998,2,131.63085103034973,131.4832079410553,-1.0011229045260337,81/200
csv,400,0.0,= 170.01 + 6619.43 + 0.81 + 11.17,170.0140676498413,6619.4276468753815,0.8106083869934082,11.167383193969727,1,131.97414875030518,131.78182125091553,-1.0014594387720857,109/200
csv,400,0.2,= 170.01 + 6619.43 + 0.81 + 11.03,170.0140676498413,6619.4276468753815,0.8106083869934082,11.034130573272705,1,132.4087429046631,132.3482346534729,-1.0004571897112842,113/200
csv,400,0.4,= 170.01 + 6619.43 + 0.81 + 11.04,170.0140676498413,6619.4276468753815,0.8106083869934082,11.035820245742798,1,132.83120036125183,133.1068229675293,1.002074983930943,125/200
csv,400,0.6,= 170.01 + 6619.43 + 0.81 + 11.13,170.0140676498413,6619.4276468753815,0.8106083869934082,11.132709980010986,1,133.60281467437744,133.72806549072266,1.0009374863594789,103/200
csv,400,0.8,= 170.01 + 6619.43 + 0.81 + 11.11,170.0140676498413,6619.4276468753815,0.8106083869934082,11.106009006500244,1,132.71098375320437,132.74260997772217,1.0002383090202738,106/200
