["cn.country_code = '[hu]'", "it.info = 'release dates'", "mc.note LIKE '%e%'", "mc.note LIKE '%as%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%o%'", "t.production_year > 1940"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%with%'", "mi.note LIKE '%o%'", "mi.info LIKE '%n%'", "t.production_year > 2008"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%DVD%'", "mi.note LIKE '%o%'", "mi.info LIKE '%l%'", "t.production_year > 1971"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2010%'", "mc.note LIKE '%worldwide%'", "mi.note LIKE '%x%'", "mi.info LIKE '%r%'", "t.production_year > 2008"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%p%'", "mc.note LIKE '%e%'", "mi.note LIKE '%release%'", "mi.info LIKE '%o%'", "t.production_year > 1959"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%media%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%r%'", "t.production_year > 2010"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%t%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%m%'", "t.production_year > 2012"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%media%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%y%'", "mi.info LIKE '%r%'", "t.production_year > 1959"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%USA%'", "mc.note LIKE '%r%'", "mi.note LIKE '%New%'", "mi.info LIKE '%U%'", "t.production_year > 1966"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2003%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%s%'", "mi.info LIKE '%D%'", "t.production_year > 1888"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%production%'", "mc.note LIKE '%with%'", "mi.note LIKE '%a%'", "mi.info LIKE '%u%'", "t.production_year > 1987"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%TV%'", "mc.note LIKE '%t%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%m%'", "t.production_year > 2000"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%n%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%h%'", "t.production_year > 2004"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%s%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%of%'", "mi.info LIKE '%o%'", "t.production_year > 1965"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2005%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%s%'", "mi.info LIKE '%u%'", "t.production_year > 2002"],
["cn.country_code = '[jp]'", "it.info = 'release dates'", "mc.note LIKE '%TV%'", "mc.note LIKE '%i%'", "mi.note LIKE '%version%'", "mi.info LIKE '%s%'", "t.production_year > 1928"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2007%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%u%'", "mi.info LIKE '%o%'", "t.production_year > 1993"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%2010%'", "mi.note LIKE '%TV%'", "mi.info LIKE '%and%'", "t.production_year > 1987"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%Goldwyn%'", "mc.note LIKE '%n%'", "mi.note LIKE '%A%'", "mi.info LIKE '%A%'", "t.production_year > 1992"]
