["cn.country_code != '[us]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%Evil%'", "ct.kind = 'distributors'", "k.keyword = 'nudity'", "mi.info IN ('Documentary', 'Documentary', 'Documentary', 'USA:X', 'USA:X')", "t.production_year > 1985", "t.production_year < 2011"],
["cn.country_code != '[at]'", "cn.name LIKE '%Inflagranti%'", "cn.name LIKE '%Films%'", "ct.kind = 'production companies'", "k.keyword = 'oral-sex'", "mi.info IN ('Color', 'Color', 'Color', 'English', 'USA')", "t.production_year > 1997", "t.production_year < 2002"],
["cn.country_code != '[vg]'", "cn.name LIKE '%Girlfriends%'", "cn.name LIKE '%Harmony%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "mi.info IN ('Adult', 'English', 'Color', 'Adult', 'Short')", "t.production_year > 1994", "t.production_year < 2009"],
["cn.country_code != '[us]'", "cn.name LIKE '%Entertainment%'", "cn.name LIKE '%Home%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 1995", "t.production_year < 2010"],
["cn.country_code != '[us]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%Pictures%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 2001", "t.production_year < 2013"],
["cn.country_code != '[eg]'", "cn.name LIKE '%Music%'", "cn.name LIKE '%Red%'", "ct.kind = 'distributors'", "k.keyword = 'oral-sex'", "mi.info IN ('English', 'English', 'English', 'English', 'English')", "t.production_year > 1998", "t.production_year < 2003"],
["cn.country_code != '[us]'", "cn.name LIKE '%Films%'", "cn.name LIKE '%Distribution%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "mi.info IN ('Adult', 'Adult', 'Adult', 'Adult', 'Adult')", "t.production_year > 2001", "t.production_year < 2013"],
["cn.country_code != '[us]'", "cn.name LIKE '%Angel%'", "cn.name LIKE '%Film%'", "ct.kind = 'distributors'", "k.keyword = 'nudity'", "mi.info IN ('Documentary', 'Documentary', 'USA:X', 'USA:X', 'USA:X')", "t.production_year > 1994", "t.production_year < 2010"],
["cn.country_code != '[bd]'", "cn.name LIKE '%FM%'", "cn.name LIKE '%Vivid%'", "ct.kind = 'production companies'", "k.keyword = 'anal-sex'", "mi.info IN ('USA', 'English', 'English', 'English', 'English')", "t.production_year > 1994", "t.production_year < 2001"],
["cn.country_code != '[cl]'", "cn.name LIKE '%Harmony%'", "cn.name LIKE '%GmbH%'", "ct.kind = 'production companies'", "k.keyword = 'oral-sex'", "mi.info IN ('Color', 'English', 'English', 'Color', 'English')", "t.production_year > 1997", "t.production_year < 2013"],
["cn.country_code != '[us]'", "cn.name LIKE '%Concepts%'", "cn.name LIKE '%Group%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 1994", "t.production_year < 2010"],
["cn.country_code != '[us]'", "cn.name LIKE '%Entertainment%'", "cn.name LIKE '%Digital%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('English', 'English', 'English', 'Color', 'English')", "t.production_year > 1995", "t.production_year < 2003"],
["cn.country_code != '[do]'", "cn.name LIKE '%Devil%'", "cn.name LIKE '%Films%'", "ct.kind = 'distributors'", "k.keyword = 'nudity'", "mi.info IN ('English', 'English', 'English', 'English', 'English')", "t.production_year > 2001", "t.production_year < 2006"],
["cn.country_code != '[ve]'", "cn.name LIKE '%Girlfriends%'", "cn.name LIKE '%VCA%'", "ct.kind = 'distributors'", "k.keyword = 'nudity'", "mi.info IN ('English', 'English', 'English', 'English', 'English')", "t.production_year > 2000", "t.production_year < 2004"],
["cn.country_code != '[us]'", "cn.name LIKE '%Light%'", "cn.name LIKE '%Angel%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('USA', 'Adult', 'USA', 'Short', 'USA:2004')", "t.production_year > 1979", "t.production_year < 2000"],
["cn.country_code != '[us]'", "cn.name LIKE '%Harmony%'", "cn.name LIKE '%Videorama%'", "ct.kind = 'production companies'", "k.keyword = 'nudity'", "mi.info IN ('Adult', 'Adult', 'Adult', 'Adult', 'Adult')", "t.production_year > 2001", "t.production_year < 2010"],
["cn.country_code != '[gr]'", "cn.name LIKE '%Films%'", "cn.name LIKE '%Essen%'", "ct.kind = 'distributors'", "k.keyword = 'hardcore'", "mi.info IN ('Color', 'USA:2005', 'Adult', 'USA', 'USA')", "t.production_year > 2001", "t.production_year < 2005"],
["cn.country_code != '[us]'", "cn.name LIKE '%Adam%'", "cn.name LIKE '%Video%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "mi.info IN ('Adult', 'Adult', 'Adult', 'Adult', 'Adult')", "t.production_year > 2008", "t.production_year < 2010"],
["cn.country_code != '[us]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%School%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "mi.info IN ('Adult', 'Adult', 'Adult', 'Adult', 'Adult')", "t.production_year > 2000", "t.production_year < 2006"],
["cn.country_code != '[kr]'", "cn.name LIKE '%1%'", "cn.name LIKE '%Prince%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "mi.info IN ('Adult', 'Adult', 'Adult', 'Adult', 'Adult')", "t.production_year > 1996", "t.production_year < 2002"],
["cn.country_code != '[es]'", "cn.name LIKE '%Wicked%'", "cn.name LIKE '%Pictures%'", "ct.kind = 'production companies'", "k.keyword = 'oral-sex'", "mi.info IN ('English', 'English', 'English', 'English', 'English')", "t.production_year > 2004", "t.production_year < 2009"],
["cn.country_code != '[us]'", "cn.name LIKE '%West%'", "cn.name LIKE '%Wicked%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('English', 'English', 'English', 'English', 'English')", "t.production_year > 2003", "t.production_year < 2004"],
["cn.country_code != '[be]'", "cn.name LIKE '%FM%'", "cn.name LIKE '%Essen%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('Documentary', 'USA:X', 'Documentary', 'USA:X', 'USA:X')", "t.production_year > 1998", "t.production_year < 2004"],
["cn.country_code != '[gi]'", "cn.name LIKE '%Harmony%'", "cn.name LIKE '%Warner%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "mi.info IN ('Color', 'Adult', 'Drama', 'English', 'Documentary')", "t.production_year > 1996", "t.production_year < 2005"]
