["ci.note IN ('(screenplay)', '(as Erol Emerle)', '(as I. SvobodovÃ¡)', '(as Noel de Souza)', '(as Bert)')", "it.info = 'opening weekend'", "it.info = 'votes'", "k.keyword IN ('dog-sled', 'public-pool', 'goldilocks', 'nails', 'car-breakdown')", "mi.info = '$36,385 (USA) (10 October 1983) (1 screen)'", "n.gender = 'm'"],
["ci.note IN ('(as Fermin Barron)', '(Bassist 1986-1987)', '(as Narbada Shakar)', '(as Norman Brisky)', '(as Albert Olson)')", "it.info = 'quotes'", "it.info = 'rating'", "k.keyword IN ('death', 'meditation', 'foreign-national', 'gourmet', 'self-duplication')", "mi.info = '[last lines]::El Mariachi: [voiceover] All I wanted was to be a mariachi, like my ancestors. But the city I thought would bring me luck brought only a curse. I lost my guitar, my hand, and her. With this injury, I may never play the guitar again. Without her, I have no love. But with the dog and the weapons, I''m prepared for the future.'", "n.gender = 'm'"],
["ci.note IN ('(screenplay)', '(as W. Gnilka)', '(as Renato Marvi)', '(as Aubri Martin)', '(as Milan Bahul)')", "it.info = 'LD official retail price'", "it.info = 'votes distribution'", "k.keyword IN ('ninja-warrior', 'sex-murder', 'hiroshima-japan', 'munchkin', 'dog-allergy')", "mi.info = '$ 34.95'", "n.gender = 'm'"],
["ci.note IN ('(as Ramiro Gomez)', '(as Grant Smith)', '(as Lorraine Mafi)', '(as Denny Lynn)', '(horse mistress)')", "it.info = 'goofs'", "it.info = 'rating'", "k.keyword IN ('hitman', 'child-buying', 'hideout', 'escapism', 'lovable-bandit')", "mi.info = 'CONT: When Moco''s men enter the prison looking for Azul, one of them gets shot several times in chest. Later, when he is dragged into a cell, his white shirt shows no signs of blood.'", "n.gender = 'm'"],
["ci.note IN ('(screenplay)', '(Sharmili''s dad)', '(as Bradley Bovee)', '(as Darcy Nicholas)', '(location runner)')", "it.info = 'quotes'", "it.info = 'votes'", "k.keyword IN ('blind-man', 'gone-fishing-sign', 'sin-of-intent', 'human-prey', 'golden-pavillion')", "mi.info = 'Nick Parker: Where is Frank Devereaux?::Cobb: F.O., Errol Flynn. You know what that means? Fuck off!::[Nick swings his sword and shaves off Cobb''s bushy eyebrows. Cobb looks shocked].::Nick Parker: I also do circumcision.'", "n.gender = 'm'"],
["ci.note IN ('(associate producer)', '(Norm)', '(as R. Saralpov)', '(as Vincent Cox)', '(as Grey PoÃºpon)')", "it.info = 'LD group genre'", "it.info = 'votes distribution'", "k.keyword IN ('jumping-through-a-window', 'distant-relative', 'nebraskan', 'ike', 'citroen')", "mi.info = 'Action'", "n.gender = 'm'"],
["ci.note IN ('(screen story)', '(as Richard-Roque)', '(as Joanna Black)', '(as Fernando Marin)', '(as Sam J Coppola)')", "it.info = 'quotes'", "it.info = 'votes distribution'", "k.keyword IN ('ninja', 'the-comediants', 'tree-branch', 'oryx', 'girl-scout-cookies')", "mi.info = 'Frank Devereaux: I''m not gonna make that shit for you! I''m not gonna, goddamn it!::MacCready: Designer drugs, boy! Wave of the future! And as legal as whores and lawyers in this state!'", "n.gender = 'm'"],
["ci.note IN ('(screenplay)', '(as Hugh L. King)', '(as Ivan Toos)', '(as Simon Sterling)', '(as Daniel Weigand)')", "it.info = 'LD disc size'", "it.info = 'votes distribution'", "k.keyword IN ('cheating', 'underwater-cave', 'rolling-the-bones', 'king-edward-vi', 'talking-snake')", "mi.info = '12'", "n.gender = 'm'"],
["ci.note IN ('(screenplay)', '(as Henri Djanick)', '(as J. Nermut)', '(as Anta Bartolomy)', '(as Susan Gordon)')", "it.info = 'LD master format'", "it.info = 'rating'", "k.keyword IN ('cheating', 'handout', 'leonard-cohen', 'julesburg-colorado', 'picture')", "mi.info = 'Film'", "n.gender = 'm'"],
["ci.note IN ('(as Fermin Barron)', '(as Anna Cannio)', '(as Ardisson)', '(as Ken Patterson)', '(as Pal Sin)')", "it.info = 'crazy credits'", "it.info = 'votes distribution'", "k.keyword IN ('revolver', 'school-janitor', 'assault-rifle', 'social-documentary', 'art-house')", "mi.info = 'In the beginning credits, Robert Rodriguez is listed as the editor. In the ending credits he gets sole credit for additional editing.'", "n.gender = 'm'"],
["ci.note IN ('(screen story)', '(1990)', '(Eugene)', '(as Rajjab Jaffrey)', '(as Mari GÃ¶ranzon)')", "it.info = 'quotes'", "it.info = 'votes distribution'", "k.keyword IN ('kendo', 'verboten', 'unloaded-gun', 'tory', 'army-tank')", "mi.info = 'Nick Parker: Unreasonable men make life so difficult.'", "n.gender = 'm'"],
["ci.note IN ('(production assistant)', '(as Igor Starkov)', '(furs designer)', '(as Joel Kane)', '(as Henri Genes)')", "it.info = 'LD master format'", "it.info = 'votes distribution'", "k.keyword IN ('blindness', 'handedness', 'score-magazine', 'year-1921', 'summer-house')", "mi.info = 'Film'", "n.gender = 'm'"],
["ci.note IN ('(screenplay)', '(as Corky Courson)', '(as Paul Thorpe)', '(as Peter Long)', '(as KurÃ´do Maki)')", "it.info = 'LD aspect ratio'", "it.info = 'votes'", "k.keyword IN ('ninja', 'viz-magazine', 'kindness', 'fashion-runway', 'statistics')", "mi.info = '1.33 : 1'", "n.gender = 'm'"],
["ci.note IN ('(as Ramiro Gomez)', '(as Showaddywaddy)', '(as Douglas Kung)', '(as Elvira Escaro)', '(as Joe Climaco)')", "it.info = 'trivia'", "it.info = 'votes'", "k.keyword IN ('hitman', 'yapping-dog', 'red-handkerchief', 'venture', 'marauder')", "mi.info = '''Robert Rodriguez (I)'' (qv)''s original budget projection was $9,000. He brought his film in on time and under budget, mainly by shooting only one take for every scene, thereby saving on film.'", "n.gender = 'm'"],
["ci.note IN ('(screenplay)', '(as Maria Jamison)', '(as Yvonne Danny)', '(as Guido Gorgati)', '(as Africa Pratt)')", "it.info = 'quotes'", "it.info = 'votes distribution'", "k.keyword IN ('jumping-through-a-window', '50th-anniversary', 'dawn', 'spoiled-child', 'family-rivalry')", "mi.info = 'MacCready: I don''t wanna hear about this blind man! What are you doing? Taking the stuff we''re supposed to be selling?::Cobb: No, I...::MacCready: Oh, shut up, Ed! If you can''t handle it, get me somebody who can! Get me Bruce Lee!::Cobb: Bruce Lee is dead.::MacCready: Then get his brother!'", "n.gender = 'm'"],
["ci.note IN ('(as Fermin Barron)', '(as Tina Buronzo)', '(as J. Kuzelka)', '(as David Duensing)', '(as Frank Notoro)')", "it.info = 'trivia'", "it.info = 'votes'", "k.keyword IN ('evil-man', 'social-standing', 'timeshare', 'war-record', 'agent-orange')", "mi.info = 'SPOILER: Most of the guns used in the film were water pistols. However a few were real, borrowed from the town''s police force. In a shot near the end of the film just after the Mariachi is pulled out of the yellow Ford van by Moco''s henchmen there is a shot of Moco walking towards the camera. Behind him laying asleep on a bench is the cop who was meant to be on-set supervising the use of the weapons for that day.'", "n.gender = 'm'"],
["ci.note IN ('(associate producer)', '(as Dwight Little)', '(as Yu. Kayurov)', '(as Peter Moyer)', '(as G. Sacristan)')", "it.info = 'LD production country'", "it.info = 'votes'", "k.keyword IN ('ninja', 'medical-certificate', 'wish-on-a-star', 'athletic-trainer', 'railroad-track')", "mi.info = 'USA'", "n.gender = 'm'"],
["ci.note IN ('(director of photography)', '(as Irv Wasserman)', '(as MarÃ­a BegoÃ±a)', '(as Peter H. Clune)', '(as Charo Santos)')", "it.info = 'filming dates'", "it.info = 'votes distribution'", "k.keyword IN ('fugitive-sex', 'liquidation', 'bubble-butt', 'bostonian', 'towel-falling-off')", "mi.info = '2 March 1987 -'", "n.gender = 'm'"],
["ci.note IN ('(as Yves Eliot)', '(as Ann Jilliann)', '(co-artistes agent)', '(as Kamondy Imre)', '(as Josue Guasch)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('couple', 'flower-lady', 'high-powered-rifle', 'glass-pipe', 'missing-ship')", "mi.info = 'France'", "n.gender = 'm'"],
["ci.note IN ('(as Ramiro Gomez)', '(as Thumper)', '(as G. Kornilova)', '(as Dawn Whitman)', '(as Shreeram Bohra)')", "it.info = 'quotes'", "it.info = 'votes'", "k.keyword IN ('hero', 'ethiopian', 'hit-on-head', 'aspiring-architect', 'cafeteria')", "mi.info = '[first lines]::Mauricio: Good morning, Azul. Know who this is?'", "n.gender = 'm'"],
["ci.note IN ('(uncredited)', '(as Nomsa Nenee)', '(daughter, Poland)', '(as Alexa Gilmore)', '(as V. Rautbart)')", "it.info = 'quotes'", "it.info = 'votes distribution'", "k.keyword IN ('cattle-drive', 'mafiosi', 'funky-music', 'intolerance', 'adult-humor')", "mi.info = 'Woodrow Call: [Woodrow walking towards Gus] I ''spect you been sittin'' up all night reading the good book.'", "n.gender = 'm'"],
["ci.note IN ('(as Ramiro Gomez)', '(as Martin Howell)', '(as Rhonda Jo Beam)', '(as Cindy Preston)', '(as Sadu Singh)')", "it.info = 'trivia'", "it.info = 'rating'", "k.keyword IN ('mistaken-identity', 'slice-soda', 'saturn', 'french-fry', 'nailed-to-cross')", "mi.info = 'In his book "Rebel Without a Crew", ''Robert Rodriguez (I)'' (qv) explains that the gangsters'' peculiar names are meant as a joke: they are all nicknames the characters had as children but never outgrew. As such they are named La Palma (Spanish for "palm"); Azul ("blue"); Pepino ("cucumber"); Moco ("booger").'", "n.gender = 'm'"],
["ci.note IN ('(location manager)', '(as Ken Baker)', '(as Ernest Charles)', '(as Jon Matchen)', '(as Gus Hermus)')", "it.info = 'certificates'", "it.info = 'votes distribution'", "k.keyword IN ('caught-having-sex', 'diamond-earring', 'college-friend', 'w.a.s.p.', 'legendary-hero')", "mi.info = 'USA:R'", "n.gender = 'm'"],
["ci.note IN ('(as Ramiro Gomez)', '(as Kolya Ionov)', '(as Ãngel Oliver)', '(as MÃ¡rcia)', '(as K. Vorobyov)')", "it.info = 'quotes'", "it.info = 'rating'", "k.keyword IN ('amateur-cinema', 'paint-bucket', 'flinch', 'bunkhouse', 'prayer-wheel')", "mi.info = '[first lines]::Mauricio: Good morning, Azul. Know who this is?'", "n.gender = 'm'"],
["ci.note IN ('(uncredited)', '(ideas)', '(as Bob Baldwin)', '(as Urmila Devi)', '(as W. Kues)')", "it.info = 'quotes'", "it.info = 'votes'", "k.keyword IN ('soap-opera', 'take-over-earth', 'loss-of-parents', 'northerner', 'cracked-mirror')", "mi.info = 'Roscoe Brown: [Peach has told Roscoe to go find July] Find July! He''s been gone over six days!::Peach Johnson: He''s gone to Texas, Roscoe. I reckon you can find Texas!::Roscoe Brown: Of course I can find Texas, Peach. I just don''t know if I can find July!'", "n.gender = 'm'"],
["ci.note IN ('(as Jean-Pascal Duffard)', '(as Monica Mertens)', '(novel "Aground")', '(as Charles Bromey)', '(as Sasha Mozoleva)')", "it.info = 'tech info'", "it.info = 'rating'", "k.keyword IN ('holiday', 'container-truck', '1600s', 'theatrical-play', 'star-treatment')", "mi.info = 'PFM:35 mm'", "n.gender = 'm'"],
["ci.note IN ('(screen story)', '(as Segunda Ramos)', '(as Stelios Kousis)', '(as David Gumpilil)', '(segment "Diana")')", "it.info = 'LD length'", "it.info = 'votes distribution'", "k.keyword IN ('jumping-through-a-window', 'ancient-myth', 'suburb', 'lockup', 'censorship')", "mi.info = '86'", "n.gender = 'm'"],
["ci.note IN ('(screen story)', '(as V. Kotenochkin)', '(as B. Paskaljevic)', '(Storekeeper)', '(Standing)')", "it.info = 'certificates'", "it.info = 'votes distribution'", "k.keyword IN ('man-hunt', 'guitar-playing', 'visual-pun', 'microphone', 'drug-lord')", "mi.info = 'Norway:18'", "n.gender = 'm'"],
["ci.note IN ('(production assistant)', '(Series 1) (1970)', '(as ''Lefty'' Hough)', '(as Ylva-Li BjÃ¶rk)', '(Dulha)')", "it.info = 'quotes'", "it.info = 'rating'", "k.keyword IN ('blindness', 'daredevil', 'armed-rebellion', 'aging-parent', 'stage-adaptation')", "mi.info = 'MacCready: Mr. Parker, there''s someone I''d like you to meet.::Nick Parker: Oh, nice guy, I hope. Everybody''s trying to kill me lately. [the Assassin enters]'", "n.gender = 'm'"],
["ci.note IN ('(location manager)', '(as Enrique MajÃ³)', '(as Albert TovÃ­as)', '(as Julia Tavella)', '(as Gerd Samariter)')", "it.info = 'certificates'", "it.info = 'votes distribution'", "k.keyword IN ('fugitive-sex', 'chinese-opera', 'hocus-pocus', 'thermostat', 'human-clone')", "mi.info = 'West Germany:16'", "n.gender = 'm'"]
