method,training_size,confidence_threshold,E2E_Training_Time,candidate_plan_generation_time_seconds,plan_cover_execution_time,training_data_collection_time,model_prediction_time,#_of_robust_plans,Avg_Robust_ms,Avg_Postgres_ms,Ratio,Robust_is_faster
kepler,400,0.8,= 460.73 + 73779.22 + 4.88 + 11.11,460.7320568561554,73779.22028779984,4.881606101989746,11.106132507324219,4,1044.9734270572662,1043.5704970359802,-1.0013443557721022,97/200
csv,50,0.0,= 241.74 + 7611.36 + 2.88 + 9.20,241.73920011520386,7611.362182378769,2.880201816558838,9.196285724639893,1,116.81721925735474,1095.3334248065948,9.376472336612595,200/200
csv,50,0.2,= 241.74 + 7611.36 + 2.88 + 8.81,241.73920011520386,7611.362182378769,2.880201816558838,8.810383796691895,1,118.56258273124696,1060.9715843200684,8.948620718941635,200/200
csv,50,0.4,= 241.74 + 7611.36 + 2.88 + 8.81,241.73920011520386,7611.362182378769,2.880201816558838,8.808903455734253,1,118.09110283851624,1080.4516673088074,9.149306267266144,200/200
csv,50,0.6,= 241.74 + 7611.36 + 2.88 + 8.68,241.73920011520386,7611.362182378769,2.880201816558838,8.679465055465698,1,1046.2419080734253,1046.0745012760162,-1.0001600333410334,91/200
csv,50,0.8,= 241.74 + 7611.36 + 2.88 + 8.88,241.73920011520386,7611.362182378769,2.880201816558838,8.877007007598877,1,1044.7607040405271,1044.3605983257294,-1.0003831106951364,90/200
csv,400,0.0,= 469.34 + 51560.75 + 3.03 + 10.51,469.3357312679291,51560.746706962585,3.033464193344116,10.507072448730469,1,115.82762122154236,1087.832750082016,9.39182501211286,200/200
csv,400,0.2,= 469.34 + 51560.75 + 3.03 + 10.61,469.3357312679291,51560.746706962585,3.033464193344116,10.613638401031494,1,116.18064045906068,1073.6509346961975,9.241220658225988,200/200
csv,400,0.4,= 469.34 + 51560.75 + 3.03 + 10.80,469.3357312679291,51560.746706962585,3.033464193344116,10.796715497970581,1,116.7417562007904,1086.7698800563812,9.309178784214856,200/200
csv,400,0.6,= 469.34 + 51560.75 + 3.03 + 10.62,469.3357312679291,51560.746706962585,3.033464193344116,10.620108604431152,1,116.23970985412598,1076.7847001552582,9.263484066732099,200/200
csv,400,0.8,= 469.34 + 51560.75 + 3.03 + 10.84,469.3357312679291,51560.746706962585,3.033464193344116,10.835810899734497,1,1081.2925517559052,1080.5290055274963,-1.0007066411216199,100/200
