["(mc.note LIKE '%t%' OR mc.note LIKE '%a%')", "ci.note IN ('(archive footage)', '(as J. Kociniak)', '(as Felipe Savage)', '(as E.L. Nelstedt)', '(as Ayce Nana Nur)')", "cn.country_code = '[au]'", "n.gender = 'm' AND n.name LIKE '%s%'", "rt.role = 'actor'", "t.production_year >= 1970 AND t.production_year <= 1994"],
["(mc.note LIKE '%9%' OR mc.note LIKE '%9%')", "ci.note IN ('(as Ranjeet Chowdhary)', '(as Pepe Cases)', '(as Sho)', '(as Paul Craine)', '(as Sandi Foxx)')", "cn.country_code = '[in]'", "n.gender = 'm' AND n.name LIKE '%r%'", "rt.role = 'actor'", "t.production_year >= 1965 AND t.production_year <= 1989"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%)%')", "ci.note IN ('(as Billy De)', '(Grandma)', '(as Lawrence Soong)', '(as Louise Roblin)', '(as Tuca Pipoca)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%,%'", "rt.role = 'actor'", "t.production_year >= 1960 AND t.production_year <= 1990"],
["(mc.note LIKE '%U%' OR mc.note LIKE '%)%')", "ci.note IN ('(as Kenneth Grantham)', '(as Shaifali)', '(as Mitja Bitenc)', '(as Lars Berghagen)', '(as Henry De Mond)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%m%'", "rt.role = 'actor'", "t.production_year >= 1963 AND t.production_year <= 1991"],
["(mc.note LIKE '%i%' OR mc.note LIKE '%)%')", "ci.note IN ('(as Paul Lee)', '(as J. SÃ¡lek)', '(drums)', '(as Ture Carlman)', '(#2) (1985-1986)')", "cn.country_code = '[fi]'", "n.gender = 'm' AND n.name LIKE '%.%'", "rt.role = 'actor'", "t.production_year >= 1964 AND t.production_year <= 1988"],
["(mc.note LIKE '%U%' OR mc.note LIKE '%V%')", "ci.note IN ('(as Rip Haight)', '(as Mickey Hoyle)', '(as D.M. Denawake)', '(as Anthony Haynes)', '(as Dan Healy)')", "cn.country_code = '[gb]'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year >= 1969 AND t.production_year <= 1994"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%8%')", "ci.note IN ('(as Andre the Giant)', '(as Cherie Elledge)', '(as Simon Booth)', '(as Gredy)', '(as Elsa Cardenas)')", "cn.country_code = '[se]'", "n.gender = 'm' AND n.name LIKE '%d%'", "rt.role = 'actor'", "t.production_year >= 1963 AND t.production_year <= 1993"],
["(mc.note LIKE '%r%' OR mc.note LIKE '%s%')", "ci.note IN ('(as Jamison Anders)', '(as Sandy Brown)', '(as Merelyn Rose)', '(as Marc McCraken)', '(texts) (as Platon)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%J%'", "rt.role = 'actor'", "t.production_year >= 1967 AND t.production_year <= 1992"],
["(mc.note LIKE '%t%' OR mc.note LIKE '%i%')", "ci.note IN ('(uncredited) (voice)', '(as Liz Golden)', '(as Yves Le Moign'')', '(as Mme Parisys)', '(as Bernard Purdie)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year >= 1982 AND t.production_year <= 1994"],
["(mc.note LIKE '%n%' OR mc.note LIKE '%)%')", "ci.note IN ('(uncredited)', '(as Lisa Wolff)', '(as Kostas Pallas)', '(as Tip)', '(as Li Chi Chi)')", "cn.country_code = '[fi]'", "n.gender = 'm' AND n.name LIKE '%l%'", "rt.role = 'actor'", "t.production_year >= 1970 AND t.production_year <= 1987"],
["(mc.note LIKE '%r%' OR mc.note LIKE '%t%')", "ci.note IN ('(uncredited)', '(as Doug Odney)', '(as Blue Mink)', '(as Audrey Lord)', '(as Mile Jeremic)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year >= 1963 AND t.production_year <= 1994"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%V%')", "ci.note IN ('(as The Beatles)', '(as Liza Volkova)', '(study)', '(as Ikram Kashmiri)', '(as Lauren Bryce)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year >= 1961 AND t.production_year <= 1977"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%0%')", "ci.note IN ('(as Bill Leslie)', '(as Anton Horowitz)', '(as Stevo Poliy)', '(as Sebastion)', '(episode 6) (1989)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%l%'", "rt.role = 'actor'", "t.production_year >= 1966 AND t.production_year <= 1975"],
["(mc.note LIKE '%0%' OR mc.note LIKE '%A%')", "ci.note IN ('(uncredited)', '(as Ye. Krylatov)', '(as Earl Faison)', '(as Chris Hughes)', '(as Larry Neiman)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%l%'", "rt.role = 'actor'", "t.production_year >= 1961 AND t.production_year <= 1975"],
["(mc.note LIKE '%T%' OR mc.note LIKE '%T%')", "ci.note IN ('(as Adam Starr)', '(as Janice Storm)', '(segment "Praxe")', '(as Anne Wehner)', '(as Lewis J. Guinn)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%a%'", "rt.role = 'actor'", "t.production_year >= 1971 AND t.production_year <= 1994"],
["(mc.note LIKE '%S%' OR mc.note LIKE '%i%')", "ci.note IN ('(as James Lough)', '(as Gordon Meer)', '(as Davide Flosi)', '(as Roger Justafre)', '(as Wanda Wonton)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year >= 1974 AND t.production_year <= 1988"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%i%')", "ci.note IN ('(uncredited)', '(as Alvaro Arnez)', '(as PÃ¡pay Zsolt)', '(as RaÃºl Zorrilla)', '(as A. Levit)')", "cn.country_code = '[br]'", "n.gender = 'm' AND n.name LIKE '%l%'", "rt.role = 'actor'", "t.production_year >= 1962 AND t.production_year <= 1982"],
["(mc.note LIKE '%r%' OR mc.note LIKE '%a%')", "ci.note IN ('(voice)', '(as Lucius Taft)', '(as Roberto Zattin)', '(as Mila Nimpa)', '(as Amrit Paul)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%v%'", "rt.role = 'actor'", "t.production_year >= 1960 AND t.production_year <= 1990"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%2%')", "ci.note IN ('(uncredited)', '(as JosÃ© Ruiz)', '(as L. Golubeva)', '(as D. Bortnyansky)', '(as Sal Carullo)')", "cn.country_code = '[it]'", "n.gender = 'm' AND n.name LIKE '%Ã%'", "rt.role = 'actor'", "t.production_year >= 1960 AND t.production_year <= 1983"]
