["cn.country_code != '[ph]'", "cn.name LIKE '%Giroscopio%'", "cn.name LIKE '%Sony%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('PCS:Spherical', 'Black and White', 'Black and White', 'Comedy', 'PCS:Spherical')", "t.production_year > 1985", "t.production_year < 2016"],
["cn.country_code != '[us]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Warner%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "mi.info IN ('Color', 'English', 'Color', 'Color', 'Color')", "t.production_year > 1996", "t.production_year < 2004"],
["cn.country_code != '[gb]'", "cn.name LIKE '%System%'", "cn.name LIKE '%NBC%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "mi.info IN ('Color', 'Color', 'Color', 'English', 'English')", "t.production_year > 1976", "t.production_year < 1988"],
["cn.country_code != '[us]'", "cn.name LIKE '%ABC%'", "cn.name LIKE '%Columbia%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "mi.info IN ('Stereo', 'UK', 'Stereo', 'Stereo', 'Silent')", "t.production_year > 1961", "t.production_year < 2009"],
["cn.country_code != '[pe]'", "cn.name LIKE '%FrÃ¨res%'", "cn.name LIKE '%NBC%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-novel'", "mi.info IN ('Mono', 'Mono', 'Mono', 'Mono', 'Mono')", "t.production_year > 1919", "t.production_year < 2009"],
["cn.country_code != '[mc]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Company%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "mi.info IN ('RAT:1.33 : 1', 'Comedy', '-', 'RAT:1.33 : 1', 'Short')", "t.production_year > 1888", "t.production_year < 1914"],
["cn.country_code != '[jo]'", "cn.name LIKE '%National%'", "cn.name LIKE '%American%'", "ct.kind = 'production companies'", "k.keyword = 'father-son-relationship'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 1894", "t.production_year < 1992"],
["cn.country_code != '[us]'", "cn.name LIKE '%I%'", "cn.name LIKE '%CBS%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "t.production_year > 1998", "t.production_year < 2007"],
["cn.country_code != '[mu]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "mi.info IN ('Color', 'English', 'English', 'English', 'English')", "t.production_year > 1988", "t.production_year < 2008"],
["cn.country_code != '[fr]'", "cn.name LIKE '%FrÃ¨res%'", "cn.name LIKE '%System%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "mi.info IN ('UK', 'Documentary', 'Stereo', 'Dolby Digital', 'Documentary')", "t.production_year > 1960", "t.production_year < 1999"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Warner%'", "cn.name LIKE '%Entertainment%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "t.production_year > 1984", "t.production_year < 2010"],
["cn.country_code != '[us]'", "cn.name LIKE '%National%'", "cn.name LIKE '%National%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "mi.info IN ('English', 'Drama', 'English', 'English', 'USA')", "t.production_year > 1932", "t.production_year < 1992"],
["cn.country_code != '[us]'", "cn.name LIKE '%EspectÃ¡culos%'", "cn.name LIKE '%Columbia%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "mi.info IN ('Color', 'English', 'Color', 'Color', 'English')", "t.production_year > 1991", "t.production_year < 2009"],
["cn.country_code != '[us]'", "cn.name LIKE '%BBC%'", "cn.name LIKE '%Home%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 1947", "t.production_year < 2003"],
["cn.country_code != '[de]'", "cn.name LIKE '%CBS%'", "cn.name LIKE '%BBC%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 1980", "t.production_year < 1991"],
["cn.country_code != '[us]'", "cn.name LIKE '%Yleisradio%'", "cn.name LIKE '%Company%'", "ct.kind = 'production companies'", "k.keyword = 'bare-chested-male'", "mi.info IN ('RAT:1.85 : 1', 'Stereo', 'Documentary', 'RAT:1.85 : 1', 'Silent')", "t.production_year > 2001", "t.production_year < 2007"],
["cn.country_code != '[gr]'", "cn.name LIKE '%Columbia%'", "cn.name LIKE '%American%'", "ct.kind = 'production companies'", "k.keyword = 'male-nudity'", "mi.info IN ('Documentary', 'OFM:35 mm', 'English', 'Color', 'USA')", "t.production_year > 1991", "t.production_year < 2000"],
["cn.country_code != '[td]'", "cn.name LIKE '%General%'", "cn.name LIKE '%Pictures%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 2010", "t.production_year < 2014"],
["cn.country_code != '[nl]'", "cn.name LIKE '%Sony%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "mi.info IN ('USA', 'USA', 'Short', 'USA', 'USA')", "t.production_year > 1985", "t.production_year < 2013"],
["cn.country_code != '[dk]'", "cn.name LIKE '%Columbia%'", "cn.name LIKE '%Cinema%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 1977", "t.production_year < 2015"],
["cn.country_code != '[gb]'", "cn.name LIKE '%American%'", "cn.name LIKE '%FrÃ¨res%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "mi.info IN ('Stereo', 'Documentary', 'Documentary', 'RAT:1.85 : 1', 'UK')", "t.production_year > 1981", "t.production_year < 2012"],
["cn.country_code != '[fr]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%System%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('-', 'PFM:35 mm', '-', 'PFM:35 mm', '-')", "t.production_year > 1992", "t.production_year < 2003"],
["cn.country_code != '[us]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%British%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "mi.info IN ('English', 'English', 'English', 'English', 'English')", "t.production_year > 1981", "t.production_year < 2010"],
["cn.country_code != '[je]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'independent-film'", "mi.info IN ('PFM:35 mm', 'PFM:35 mm', 'OFM:35 mm', 'PFM:35 mm', 'OFM:35 mm')", "t.production_year > 1930", "t.production_year < 2007"],
["cn.country_code != '[fr]'", "cn.name LIKE '%Corporation%'", "cn.name LIKE '%Company%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "mi.info IN ('Short', 'Color', 'Drama', 'Drama', 'English')", "t.production_year > 1991", "t.production_year < 2011"],
["cn.country_code != '[ca]'", "cn.name LIKE '%System%'", "cn.name LIKE '%Company%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "mi.info IN ('Color', 'Color', 'English', 'Short', 'USA')", "t.production_year > 1947", "t.production_year < 2004"],
["cn.country_code != '[yucs]'", "cn.name LIKE '%NBC%'", "cn.name LIKE '%Film%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "t.production_year > 2005", "t.production_year < 2009"],
["cn.country_code != '[de]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%System%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "mi.info IN ('USA', 'English', 'Color', 'English', 'Color')", "t.production_year > 1996", "t.production_year < 2004"]
